ID,Origin,Destination,ServiceType,BrandClass,Via,DepartureTime24h,Source,BatchID
ddd76384-65e7-4bfd-86b2-fb38e35d360c,Mysuru,Abbana,,,,17:00,,ALUR
b7f2cb60-0ba0-4efb-817d-4418292189b3,Channarayapatna,Dharmastala,,,,08:45,,ALUR
95faf08f-1594-4fac-b739-8c3cceea0a52,Ramanathapur,Dharmastala,,,,09:45,,ALUR
03d9aafe-1a53-4c60-8705-fea853af8b55,Bengaluru,Dharmastala,,,,11:00,,ALUR
4f895a5d-14b0-4593-a2d0-57d02c5b4b0f,Bengaluru,Dharmastala,,,,11:30,,ALUR
b4c67d20-ad46-4982-97f7-ba22d8b9097e,Bengaluru,Dharmastala,,,,11:45,,ALUR
0c17375f-aa71-44c6-8da0-f3e97204b3ab,Bengaluru,Dharmastala,,,,12:25,,ALUR
c4b8d8d9-8fbf-4c40-9870-0f4b27522f9d,Bengaluru,Dharmastala,,,,12:30,,ALUR
be3edb25-2926-459c-baed-c273f9a780bd,Bengaluru,Dharmastala,,,,12:45,,ALUR
9bfd01f5-4f70-43d9-9ff9-e024b862f979,Bengaluru,Dharmastala,,,,13:30,,ALUR
05c53cc6-5d01-4ae5-8dce-8a72bd5f2787,Bengaluru,Dharmastala,,,,13:45,,ALUR
5877b3d4-e361-4bfc-8f9c-7977dc26e720,Bengaluru,Dharmastala,,,,14:15,,ALUR
1c9343d4-a4d4-41cd-8e30-77c86ba90ff1,Nanjangud,Dharmastala,,,,14:45,,ALUR
7686e8f7-83eb-442f-aa98-d922c330085b,Bengaluru,Dharmastala,,,,15:00,,ALUR
55ab8628-aacc-4024-a9b5-1228020ee230,Kanakapura,Dharmastala,,,,15:00,,ALUR
75560305-8c2c-401a-8e12-ffcb0fbb0aa6,Kolar,Dharmastala,,,,15:30,,ALUR
324949f9-572e-4601-a647-37aeaa92e249,Bengaluru,Dharmastala,,,,15:45,,ALUR
8fec7941-661a-41d4-97be-626bab362a7d,Gowribidnur,Dharmastala,,,,16:30,,ALUR
0e752f4a-d537-4279-aab4-d8c03ba3e4c3,Doddaballapur,Dharmastala,,,,16:45,,ALUR
daae48f7-ad61-4778-ba46-a750ed230055,Chintamani,Dharmastala,,,,17:30,,ALUR
37155e12-95ee-447f-853c-8fe44f15332a,Kolar,Dharmastala,,,,17:30,,ALUR
5a7dcdee-d97f-4544-b945-5efd1f5126cb,V,Kota,Express,,,18:00,,ALUR
532c12a7-1a73-464e-acf8-3044e039092c,Gowribidnur,Dharmastala,,,,18:30,,ALUR
1203bee8-0de1-406f-878b-b8f75b053930,Gundlupet,Dharmastala,,,,18:30,,ALUR
082ff837-dd46-4871-94cc-3585ca252577,Chintamani,Dharmastala,,,,19:00,,ALUR
85fe184b-76f0-4646-8edd-62599d970757,Magadi,Dharmastala,,,,19:45,,ALUR
2a75ddf0-685d-46fd-8906-618987c62bcf,Hassan,Hettur,,,,14:00,,ALUR
e0a6bfef-4d10-47e4-8465-ec4da31fbf7a,Hassan,Hettur,,,,19:15,,ALUR
e346ce8d-77b6-492b-8a5c-1586c1dd4165,V,Kota,Express,,,13:00,,ALUR
69db4142-55d1-459b-8521-8e19365d806b,Anekal,Hongadahalla,,,,16:45,,ALUR
9759894f-4d28-4a8e-b140-e5674e43d4d3,Hassan,Kadmane,,,,19:15,,ALUR
8812359e-ef63-4770-874e-6f40bccc1b3c,Hassan,Kodlipete,,,,07:30,,ALUR
c0d762fa-706e-40fd-8af0-bcfd11395825,Hassan,Kodlipete,,,,08:30,,ALUR
b31dcd92-b870-458c-aea0-b7ccd5a66554,Hassan,Kodlipete,,,,09:30,,ALUR
2716e93b-bbf6-44f6-a3cb-08269548c1bd,Hassan,Kodlipete,,,,11:00,,ALUR
edce02fa-950a-489c-a5de-9b190304efb4,Hassan,Kodlipete,,,,12:00,,ALUR
7931c348-2453-42dc-b748-801b03638971,Bengaluru,Kodlipete,,,,12:00,,ALUR
fd89a363-93bb-427f-a234-9c57ec790809,Hassan,Kodlipete,,,,13:00,,ALUR
cbd12860-ae67-4aa4-a920-d08059450660,Hassan,Kodlipete,,,,15:00,,ALUR
60244730-b635-45fe-988d-95ba98588d36,Hassan,Kodlipete,,,,15:30,,ALUR
f708af16-edab-4296-8b30-6c75c44351b5,Hassan,Kodlipete,,,,17:00,,ALUR
04cea617-061b-4476-a3b6-ab34dcbc7f3b,Bengaluru,Kundapur,,,,10:30,,ALUR
7852e1bf-c330-475e-b69e-1e73e709e20d,Bengaluru,Kundapur,,,,11:00,,ALUR
f9270aa6-0f72-4d7d-a20c-03b4ef4f80d8,Bengaluru,Kundapur,,,,11:30,,ALUR
98421d3c-5008-426a-9223-e97af6d43d27,Bengaluru,Kundapur,,,,12:00,,ALUR
1012615d-92ef-4a1c-85e8-5b69b5c94473,Bengaluru,Kundapur,,,,12:30,,ALUR
6f933258-295e-4162-a005-4688449f757f,Bengaluru,Kundapur,,,,13:00,,ALUR
654736a6-077d-430c-81ea-d5c450385994,Chintamani,Madikeri,,,,16:30,,ALUR
e8e9dfba-b5b3-4df2-9ba7-ab8073f0f438,Malur,Magge,,,,19:00,,ALUR
777b5b78-2e6f-4f7b-a35b-29b26f1ee27e,Hassan,Mangaluru,,,,06:30,,ALUR
f35bbe87-a599-4414-a6e3-3bddd59d84a0,Hassan,Mangaluru,,,,06:45,,ALUR
560fda4a-429b-472b-92e0-60fb2a0253f1,Hassan,Mangaluru,,,,07:15,,ALUR
bf3a6e3e-ec2e-4f10-9a32-c839ca1d5958,Arasikere,Mangaluru,,,,08:00,,ALUR
6df11ee3-819a-400a-9547-572c293ed2b6,Holenarasipur,Mangaluru,,,,08:45,,ALUR
6e50e80a-8b27-40cd-be81-cb732e8b1b5c,Holenarasipur,Mangaluru,,,,09:30,,ALUR
4f6daf7c-bfce-4c8b-ae7f-093f02e80475,Hassan,Mangaluru,,,,10:00,,ALUR
618d5d40-5919-4748-8dec-e5018c76fcd5,Bengaluru,Mangaluru,,,,10:15,,ALUR
f44a8d1a-f436-4cef-836d-98bd058b6f01,Bengaluru,Mangaluru,,,,11:00,,ALUR
bbb1ad0c-ddaa-45c1-810b-8ef96410764e,Bengaluru,Mangaluru,,,,12:00,,ALUR
7537eee8-aa05-4bfd-b352-48e36623cb69,Bengaluru,Mangaluru,,,,13:30,,ALUR
399dd0f4-3f88-4020-9a72-bf80a75529b0,Bengaluru,Mangaluru,,,,14:00,,ALUR
950038e7-5372-4834-abd7-c531b3433868,Bengaluru,Mangaluru,,,,14:30,,ALUR
b7346f07-a25a-4924-af78-c238f414c283,Bengaluru,Mangaluru,,,,15:00,,ALUR
6b740f32-7ee5-4b8b-bc4a-eb30343912dd,Channarayapatna,Mangaluru,,,,15:30,,ALUR
5a80d8d6-3905-4d15-8906-845cb1535030,Bengaluru,Mangaluru,,,,15:30,,ALUR
c767556f-b4b5-4d68-a89d-ce8d04bbe450,Bengaluru,Mangaluru,,,,16:30,,ALUR
372cb4aa-8a28-4bdd-a8df-03db275b1ecb,Bengaluru,Mangaluru,,,,17:30,,ALUR
dee38cb6-204e-4e4e-82c4-b7a190a51467,Bengaluru,Mangaluru,,,,18:00,,ALUR
f684d688-1573-4ca8-8384-227e45ea7e15,Bengaluru,Mangaluru,,,,18:30,,ALUR
c2cf13bb-3a6f-4823-b7f1-0541df967916,Bengaluru,Mangaluru,,,,19:30,,ALUR
39ac3868-7032-4c1b-813e-f0d56b780ad9,Hassan,Mudigere,,,,13:30,,ALUR
f1f9ca5d-73ba-4740-baa2-2b617410afc1,Bengaluru,Puttur,,,,12:00,,ALUR
397c1f8a-814c-43d9-824c-391344397943,Bengaluru,Puttur,,,,12:30,,ALUR
090a7853-26a9-4ebd-b72a-0ab095b2cfb8,Bengaluru,Puttur,,,,13:00,,ALUR
678f464c-9e2b-4b99-a89b-7e57798566d0,Bengaluru,Puttur,,,,13:45,,ALUR
9c983e64-6b13-4196-a31a-575a2ed8d532,Bengaluru,Puttur,,,,14:00,,ALUR
f97787cd-f17b-408a-93cf-5147a722a0a8,Hassan,Sakaleshpur,,,,08:30,,ALUR
532db72a-57b1-4b72-a29c-773bb9150a03,Hassan,Sakaleshpur,,,,09:00,,ALUR
8138b522-5a5f-4073-b768-41532b00516d,Vijayapura,Sakaleshpur,,,,09:00,,ALUR
