ID,Origin,Destination,ServiceType,BrandClass,Via,DepartureTime24h,Source,BatchID
522883c1-c47f-479f-bbde-605ccb48bee6,Bengaluru,Afzalpur,Express,,Ballari-sindhanur-maski-lingsugur-hunasagi,19:20,,BengaluruKempegowda
66655313-4d90-4ec7-8b68-edd53a42923f,Bengaluru,Afzalpur,Express,,Ballari-siruguppa-sindhanur-maski-jalahalli,19:45,,BengaluruKempegowda
f26130f8-5488-41de-b25d-96417f9ffcdd,Bengaluru,Agumbe,Express,,Hassan-chikkamagaluru-alduru-balehonnur,07:00,,BengaluruKempegowda
0bfd88f4-5d5c-4063-864b-573ae790619d,Bengaluru,Agumbe,Express,Sleeper,Tumakuru-arasikere,22:03,,BengaluruKempegowda
9bce5e64-19d1-41aa-bf15-a606c14e5b0b,Bengaluru,Aland,Express,,Ballari-shahpur-jevargi-kalaburagi,21:15,,BengaluruKempegowda
b5efa06c-44a3-4268-875d-0bfdb7efa390,Bengaluru,Alduru,Express,,Siddapura Channarayapatna-holenarasipura-arkalgud,14:16,,BengaluruKempegowda
2f7db289-2c24-4609-95c9-fc3b9ae019a2,Bengaluru,Alike,Express,Rajahamsa,Hassan-sakaleshpura-puttur-vitla,22:16,,BengaluruKempegowda
7591cc27-7aa9-4f6f-b04d-ab945287e6d7,Bengaluru,Amarapura,Express,,Dabaspete-madhugiri-pavagada,14:00,,BengaluruKempegowda
480ae10f-8303-42bb-aca6-0b0254e7d20b,Bengaluru,Anantapur,Express,,Devanahalli-chikkaballapura,05:00,,BengaluruKempegowda
2b37fc86-1eb2-44bc-bdc3-b0f9b17f572a,Bengaluru,Anantapur,Express,,Devanahalli-chikkaballapura,06:15,,BengaluruKempegowda
34bb0a53-7ab7-4d5f-80c4-ffd362937554,Bengaluru,Anantapur,Express,,Devanahalli-chikkaballapura,07:00,,BengaluruKempegowda
