ID,Origin,Destination,ServiceType,BrandClass,Via,DepartureTime24h,Source,BatchID
e5b0d1a7-8c42-45f5-be72-8032276750d4,Mysuru,Harihara,Ordinary,,Shivamogga,05:30,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
3eb2d77d-d20f-49e6-9bc7-6b74a31a46ba,Mysuru,Hosapete,Ordinary,,Shivamogga,06:00,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
79fd898b-3dcd-4d7e-97f0-6ec472526228,Mysuru,Yalburga,Ordinary,,Shivamogga,06:30,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
4a4f7826-8ca1-4a0f-b777-89bf410e78bb,Mysuru,Shivmogga,Ordinary,,Arasikere,06:45,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
8813ec24-0b02-4f3c-9f3e-141b8a9d773f,Mysuru,Sirsi,Ordinary,,Shivamogga,07:30,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
f15c0751-92a1-461d-abca-f20d96be8d8f,Mysore Arasikere,Express,Ordinary,,Patna,07:45,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
280fe411-979a-4689-a120-6123c15d9d19,Mysuru,Hirekeroru,Ordinary,,Shivamogga,08:00,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
c11b14ea-a1d3-4f8f-b789-78375bdbfa5f,Mysuru,Sanduru,Ordinary,,Shivamogga,08:15,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
29a47674-bfd8-42cd-ba0f-23f14414415b,Mysuru,Yallapura,Ordinary,,Shivamogga,08:45,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
2268921b-abf4-4edc-9c60-b046929f6299,Mysuru,Hubballi,Ordinary,,Shivamogga,09:00,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
e22db4b9-992b-4a9f-843f-b7de87056d22,Mysuru,Hosapete,Ordinary,,Shivamogga,09:15,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
748d6b75-72dc-41c5-a12e-435d34f757f4,Mysuru,Hubballi,Ordinary,,Shivamogga,10:00,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
66aef6e8-eb90-4a67-929e-f40b45b5ed0e,Mysore Arasikere,Express,Ordinary,,Patna,10:00,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
13786bf5-3482-4815-89cb-bf6a808eed7f,Mysuru,Hosapete,Ordinary,,Shivamogga,10:15,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
b076f01b-cef8-49bf-93ee-aaa507d3a59a,Mysuru,Hanagal,Ordinary,,Shivamogga,10:30,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
0f7f955c-6928-4b91-aeaa-f8a0b0dfaab8,Mysuru,Hosapete,Ordinary,,Shivamogga,10:45,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
ea489734-98ae-480d-b7e4-103f80ae2207,Mysuru,Gadag,Ordinary,,Shivamogga,11:15,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
911ef2a5-37b3-4b32-baa0-f95d6d4d8a58,Mysuru,Davanagere,Ordinary,,Shivamogga,11:30,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
30ca5945-7f29-44b9-afd4-8351b5ad4451,Mysuru,Shivmogga,Ordinary,,Arasikere,12:00,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
fe19b891-02fb-4cf3-bca1-be704caf348c,Mysuru,Shivmogga,Ordinary,,Arasikere,12:15,CHANNARAYAPATNA,Bus_Timetables_Batch7_Merged
