"bus_id","bus_type","seating_capacity"
"B001","Volvo","45"
"B002","Express","50"
"B003","Electric","40"
"B004","Ordinary","52"
"B005","Sleeper","36"
"B006","Volvo","45"
"B007","Express","50"
"B008","Electric","40"
"B009","Ordinary","52"
"B010","Sleeper","36"
"B011","Volvo","45"
"B012","Express","50"
"B013","Electric","40"
"B014","Ordinary","52"
"B015","Sleeper","36"
"B016","Volvo","45"
"B017","Express","50"
"B018","Electric","40"
"B019","Ordinary","52"
"B020","Sleeper","36"
"B021","Volvo","45"
"B022","Express","50"
"B023","Electric","40"
"B024","Ordinary","52"
"B025","Sleeper","36"
"B026","Volvo","45"
"B027","Express","50"
"B028","Electric","40"
"B029","Ordinary","52"
"B030","Sleeper","36"
"B031","Volvo","45"
"B032","Express","50"
"B033","Electric","40"
"B034","Ordinary","52"
"B035","Sleeper","36"
"B036","Volvo","45"
"B037","Express","50"
"B038","Electric","40"
"B039","Ordinary","52"
"B040","Sleeper","36"
"B041","Volvo","45"
"B042","Express","50"
"B043","Electric","40"
"B044","Ordinary","52"
"B045","Sleeper","36"
"B046","Volvo","45"
"B047","Express","50"
"B048","Electric","40"
"B049","Ordinary","52"
"B050","Sleeper","36"
"B051","Volvo","45"
"B052","Express","50"
"B053","Electric","40"
"B054","Ordinary","52"
"B055","Sleeper","36"
"B056","Volvo","45"
"B057","Express","50"
"B058","Electric","40"
"B059","Ordinary","52"
"B060","Sleeper","36"
"B061","Volvo","45"
"B062","Express","50"
"B063","Electric","40"
"B064","Ordinary","52"
"B065","Sleeper","36"
"B066","Volvo","45"
"B067","Express","50"
"B068","Electric","40"
"B069","Ordinary","52"
"B070","Sleeper","36"
"B071","Volvo","45"
"B072","Express","50"
"B073","Electric","40"
"B074","Ordinary","52"
"B075","Sleeper","36"
"B076","Volvo","45"
"B077","Express","50"
"B078","Electric","40"
"B079","Ordinary","52"
"B080","Sleeper","36"
"B081","Volvo","45"
"B082","Express","50"
"B083","Electric","40"
"B084","Ordinary","52"
"B085","Sleeper","36"
"B086","Volvo","45"
"B087","Express","50"
"B088","Electric","40"
"B089","Ordinary","52"
"B090","Sleeper","36"
"B091","Volvo","45"
"B092","Express","50"
"B093","Electric","40"
"B094","Ordinary","52"
"B095","Sleeper","36"
"B096","Volvo","45"
"B097","Express","50"
"B098","Electric","40"
"B099","Ordinary","52"
"B100","Sleeper","36"
