"depot_id","depot_name","location"
"D01","Majestic Depot","Bangalore"
"D02","Yeshwanthpur Depot","Bangalore"
"D03","Majestic Depot 1","Bangalore"
"D04","Yeshwanthpur Depot 1","Bangalore"
"D05","Shantinagar Depot 1","Bangalore"
"D06","Kengeri Depot 1","Bangalore"
"D07","Bannerghatta Depot 1","Bangalore"
"D08","Whitefield Depot 1","Bangalore"
"D09","Peenya Depot 1","Bangalore"
"D10","Hebbal Depot 1","Bangalore"
"D11","Mysore Road Depot 1","Bangalore"
"D12","KR Puram Depot 1","Bangalore"
"D13","Majestic Depot 2","Bangalore"
"D14","Yeshwanthpur Depot 2","Bangalore"
"D15","Shantinagar Depot 2","Bangalore"
"D16","Kengeri Depot 2","Bangalore"
"D17","Bannerghatta Depot 2","Bangalore"
"D18","Whitefield Depot 2","Bangalore"
"D19","Peenya Depot 2","Bangalore"
"D20","Hebbal Depot 2","Bangalore"
"D21","Mysore Road Depot 2","Bangalore"
"D22","KR Puram Depot 2","Bangalore"
"D23","Majestic Depot 3","Bangalore"
"D24","Yeshwanthpur Depot 3","Bangalore"
"D25","Shantinagar Depot 3","Bangalore"
"D26","Kengeri Depot 3","Bangalore"
"D27","Bannerghatta Depot 3","Bangalore"
"D28","Whitefield Depot 3","Bangalore"
"D29","Peenya Depot 3","Bangalore"
"D30","Hebbal Depot 3","Bangalore"
"D31","Mysore Road Depot 3","Bangalore"
"D32","KR Puram Depot 3","Bangalore"
"D33","Majestic Depot 4","Bangalore"
"D34","Yeshwanthpur Depot 4","Bangalore"
"D35","Shantinagar Depot 4","Bangalore"
"D36","Kengeri Depot 4","Bangalore"
"D37","Bannerghatta Depot 4","Bangalore"
"D38","Whitefield Depot 4","Bangalore"
"D39","Peenya Depot 4","Bangalore"
"D40","Hebbal Depot 4","Bangalore"
"D41","Mysore Road Depot 4","Bangalore"
"D42","KR Puram Depot 4","Bangalore"
"D43","Majestic Depot 5","Bangalore"
"D44","Yeshwanthpur Depot 5","Bangalore"
"D45","Shantinagar Depot 5","Bangalore"
"D46","Kengeri Depot 5","Bangalore"
"D47","Bannerghatta Depot 5","Bangalore"
"D48","Whitefield Depot 5","Bangalore"
"D49","Peenya Depot 5","Bangalore"
"D50","Hebbal Depot 5","Bangalore"
"D51","Mysore Road Depot 5","Bangalore"
"D52","KR Puram Depot 5","Bangalore"
"D53","Majestic Depot 6","Bangalore"
"D54","Yeshwanthpur Depot 6","Bangalore"
"D55","Shantinagar Depot 6","Bangalore"
"D56","Kengeri Depot 6","Bangalore"
"D57","Bannerghatta Depot 6","Bangalore"
"D58","Whitefield Depot 6","Bangalore"
"D59","Peenya Depot 6","Bangalore"
"D60","Hebbal Depot 6","Bangalore"
"D61","Mysore Road Depot 6","Bangalore"
"D62","KR Puram Depot 6","Bangalore"
"D63","Majestic Depot 7","Bangalore"
"D64","Yeshwanthpur Depot 7","Bangalore"
"D65","Shantinagar Depot 7","Bangalore"
"D66","Kengeri Depot 7","Bangalore"
"D67","Bannerghatta Depot 7","Bangalore"
"D68","Whitefield Depot 7","Bangalore"
"D69","Peenya Depot 7","Bangalore"
"D70","Hebbal Depot 7","Bangalore"
"D71","Mysore Road Depot 7","Bangalore"
"D72","KR Puram Depot 7","Bangalore"
"D73","Majestic Depot 8","Bangalore"
"D74","Yeshwanthpur Depot 8","Bangalore"
"D75","Shantinagar Depot 8","Bangalore"
"D76","Kengeri Depot 8","Bangalore"
"D77","Bannerghatta Depot 8","Bangalore"
"D78","Whitefield Depot 8","Bangalore"
"D79","Peenya Depot 8","Bangalore"
"D80","Hebbal Depot 8","Bangalore"
"D81","Mysore Road Depot 8","Bangalore"
"D82","KR Puram Depot 8","Bangalore"
"D83","Majestic Depot 9","Bangalore"
"D84","Yeshwanthpur Depot 9","Bangalore"
"D85","Shantinagar Depot 9","Bangalore"
"D86","Kengeri Depot 9","Bangalore"
"D87","Bannerghatta Depot 9","Bangalore"
"D88","Whitefield Depot 9","Bangalore"
"D89","Peenya Depot 9","Bangalore"
"D90","Hebbal Depot 9","Bangalore"
"D91","Mysore Road Depot 9","Bangalore"
"D92","KR Puram Depot 9","Bangalore"
"D93","Majestic Depot 10","Bangalore"
"D94","Yeshwanthpur Depot 10","Bangalore"
"D95","Shantinagar Depot 10","Bangalore"
"D96","Kengeri Depot 10","Bangalore"
"D97","Bannerghatta Depot 10","Bangalore"
"D98","Whitefield Depot 10","Bangalore"
"D99","Peenya Depot 10","Bangalore"
"D100","Hebbal Depot 10","Bangalore"
