"driver_id","bus_id","shift_start","shift_end"
"DR01","B001","06:00","14:00"
"DR02","B002","14:00","22:00"
"DR03","B003","22:00","06:00"
"DR04","B004","06:00","14:00"
"DR05","B005","14:00","22:00"
"DR06","B006","22:00","06:00"
"DR07","B007","06:00","14:00"
"DR08","B008","14:00","22:00"
"DR09","B009","22:00","06:00"
"DR10","B010","06:00","14:00"
"DR11","B011","14:00","22:00"
"DR12","B012","22:00","06:00"
"DR13","B013","06:00","14:00"
"DR14","B014","14:00","22:00"
"DR15","B015","22:00","06:00"
"DR16","B016","06:00","14:00"
"DR17","B017","14:00","22:00"
"DR18","B018","22:00","06:00"
"DR19","B019","06:00","14:00"
"DR20","B020","14:00","22:00"
"DR21","B021","22:00","06:00"
"DR22","B022","06:00","14:00"
"DR23","B023","14:00","22:00"
"DR24","B024","22:00","06:00"
"DR25","B025","06:00","14:00"
"DR26","B026","14:00","22:00"
"DR27","B027","22:00","06:00"
"DR28","B028","06:00","14:00"
"DR29","B029","14:00","22:00"
"DR30","B030","22:00","06:00"
"DR31","B031","06:00","14:00"
"DR32","B032","14:00","22:00"
"DR33","B033","22:00","06:00"
"DR34","B034","06:00","14:00"
"DR35","B035","14:00","22:00"
"DR36","B036","22:00","06:00"
"DR37","B037","06:00","14:00"
"DR38","B038","14:00","22:00"
"DR39","B039","22:00","06:00"
"DR40","B040","06:00","14:00"
"DR41","B041","14:00","22:00"
"DR42","B042","22:00","06:00"
"DR43","B043","06:00","14:00"
"DR44","B044","14:00","22:00"
"DR45","B045","22:00","06:00"
"DR46","B046","06:00","14:00"
"DR47","B047","14:00","22:00"
"DR48","B048","22:00","06:00"
"DR49","B049","06:00","14:00"
"DR50","B050","14:00","22:00"
"DR51","B051","22:00","06:00"
"DR52","B052","06:00","14:00"
"DR53","B053","14:00","22:00"
"DR54","B054","22:00","06:00"
"DR55","B055","06:00","14:00"
"DR56","B056","14:00","22:00"
"DR57","B057","22:00","06:00"
"DR58","B058","06:00","14:00"
"DR59","B059","14:00","22:00"
"DR60","B060","22:00","06:00"
"DR61","B061","06:00","14:00"
"DR62","B062","14:00","22:00"
"DR63","B063","22:00","06:00"
"DR64","B064","06:00","14:00"
"DR65","B065","14:00","22:00"
"DR66","B066","22:00","06:00"
"DR67","B067","06:00","14:00"
"DR68","B068","14:00","22:00"
"DR69","B069","22:00","06:00"
"DR70","B070","06:00","14:00"
"DR71","B071","14:00","22:00"
"DR72","B072","22:00","06:00"
"DR73","B073","06:00","14:00"
"DR74","B074","14:00","22:00"
"DR75","B075","22:00","06:00"
"DR76","B076","06:00","14:00"
"DR77","B077","14:00","22:00"
"DR78","B078","22:00","06:00"
"DR79","B079","06:00","14:00"
"DR80","B080","14:00","22:00"
"DR81","B081","22:00","06:00"
"DR82","B082","06:00","14:00"
"DR83","B083","14:00","22:00"
"DR84","B084","22:00","06:00"
"DR85","B085","06:00","14:00"
"DR86","B086","14:00","22:00"
"DR87","B087","22:00","06:00"
"DR88","B088","06:00","14:00"
"DR89","B089","14:00","22:00"
"DR90","B090","22:00","06:00"
"DR91","B091","06:00","14:00"
"DR92","B092","14:00","22:00"
"DR93","B093","22:00","06:00"
"DR94","B094","06:00","14:00"
"DR95","B095","14:00","22:00"
"DR96","B096","22:00","06:00"
"DR97","B097","06:00","14:00"
"DR98","B098","14:00","22:00"
"DR99","B099","22:00","06:00"
"DR100","B100","06:00","14:00"
