"date","event_name","city"
"2026-01-26","Republic Day","Bangalore"
"2026-08-15","Independence Day","Bangalore"
"2026-01-10","Republic Day 3","Bangalore"
"2026-01-13","Tech Summit 4","Bangalore"
"2026-01-16","Marathon Day 5","Bangalore"
"2026-01-19","Flower Show 6","Bangalore"
"2026-01-22","Education Expo 7","Bangalore"
"2026-01-25","Startup Meet 8","Bangalore"
"2026-01-28","Cultural Fest 9","Bangalore"
"2026-01-31","Music Night 10","Bangalore"
"2026-02-03","Food Carnival 11","Bangalore"
"2026-02-06","Independence Day 12","Bangalore"
"2026-02-09","Heritage Walk 13","Bangalore"
"2026-02-12","Book Fair 14","Bangalore"
"2026-02-15","Trade Expo 15","Bangalore"
"2026-02-18","Sports Meet 16","Bangalore"
"2026-02-21","Science Fair 17","Bangalore"
"2026-02-24","Kannada Rajyotsava 18","Bangalore"
"2026-02-27","Winter Carnival 19","Bangalore"
"2026-03-02","New Year Eve 20","Bangalore"
"2026-03-05","Public Holiday 21","Bangalore"
"2026-03-08","City Festival 22","Bangalore"
"2026-03-11","Republic Day 23","Bangalore"
"2026-03-14","Tech Summit 24","Bangalore"
"2026-03-17","Marathon Day 25","Bangalore"
"2026-03-20","Flower Show 26","Bangalore"
"2026-03-23","Education Expo 27","Bangalore"
"2026-03-26","Startup Meet 28","Bangalore"
"2026-03-29","Cultural Fest 29","Bangalore"
"2026-04-01","Music Night 30","Bangalore"
"2026-04-04","Food Carnival 31","Bangalore"
"2026-04-07","Independence Day 32","Bangalore"
"2026-04-10","Heritage Walk 33","Bangalore"
"2026-04-13","Book Fair 34","Bangalore"
"2026-04-16","Trade Expo 35","Bangalore"
"2026-04-19","Sports Meet 36","Bangalore"
"2026-04-22","Science Fair 37","Bangalore"
"2026-04-25","Kannada Rajyotsava 38","Bangalore"
"2026-04-28","Winter Carnival 39","Bangalore"
"2026-05-01","New Year Eve 40","Bangalore"
"2026-05-04","Public Holiday 41","Bangalore"
"2026-05-07","City Festival 42","Bangalore"
"2026-05-10","Republic Day 43","Bangalore"
"2026-05-13","Tech Summit 44","Bangalore"
"2026-05-16","Marathon Day 45","Bangalore"
"2026-05-19","Flower Show 46","Bangalore"
"2026-05-22","Education Expo 47","Bangalore"
"2026-05-25","Startup Meet 48","Bangalore"
"2026-05-28","Cultural Fest 49","Bangalore"
"2026-05-31","Music Night 50","Bangalore"
"2026-06-03","Food Carnival 51","Bangalore"
"2026-06-06","Independence Day 52","Bangalore"
"2026-06-09","Heritage Walk 53","Bangalore"
"2026-06-12","Book Fair 54","Bangalore"
"2026-06-15","Trade Expo 55","Bangalore"
"2026-06-18","Sports Meet 56","Bangalore"
"2026-06-21","Science Fair 57","Bangalore"
"2026-06-24","Kannada Rajyotsava 58","Bangalore"
"2026-06-27","Winter Carnival 59","Bangalore"
"2026-06-30","New Year Eve 60","Bangalore"
"2026-07-03","Public Holiday 61","Bangalore"
"2026-07-06","City Festival 62","Bangalore"
"2026-07-09","Republic Day 63","Bangalore"
"2026-07-12","Tech Summit 64","Bangalore"
"2026-07-15","Marathon Day 65","Bangalore"
"2026-07-18","Flower Show 66","Bangalore"
"2026-07-21","Education Expo 67","Bangalore"
"2026-07-24","Startup Meet 68","Bangalore"
"2026-07-27","Cultural Fest 69","Bangalore"
"2026-07-30","Music Night 70","Bangalore"
"2026-08-02","Food Carnival 71","Bangalore"
"2026-08-05","Independence Day 72","Bangalore"
"2026-08-08","Heritage Walk 73","Bangalore"
"2026-08-11","Book Fair 74","Bangalore"
"2026-08-14","Trade Expo 75","Bangalore"
"2026-08-17","Sports Meet 76","Bangalore"
"2026-08-20","Science Fair 77","Bangalore"
"2026-08-23","Kannada Rajyotsava 78","Bangalore"
"2026-08-26","Winter Carnival 79","Bangalore"
"2026-08-29","New Year Eve 80","Bangalore"
"2026-09-01","Public Holiday 81","Bangalore"
"2026-09-04","City Festival 82","Bangalore"
"2026-09-07","Republic Day 83","Bangalore"
"2026-09-10","Tech Summit 84","Bangalore"
"2026-09-13","Marathon Day 85","Bangalore"
"2026-09-16","Flower Show 86","Bangalore"
"2026-09-19","Education Expo 87","Bangalore"
"2026-09-22","Startup Meet 88","Bangalore"
"2026-09-25","Cultural Fest 89","Bangalore"
"2026-09-28","Music Night 90","Bangalore"
"2026-10-01","Food Carnival 91","Bangalore"
"2026-10-04","Independence Day 92","Bangalore"
"2026-10-07","Heritage Walk 93","Bangalore"
"2026-10-10","Book Fair 94","Bangalore"
"2026-10-13","Trade Expo 95","Bangalore"
"2026-10-16","Sports Meet 96","Bangalore"
"2026-10-19","Science Fair 97","Bangalore"
"2026-10-22","Kannada Rajyotsava 98","Bangalore"
"2026-10-25","Winter Carnival 99","Bangalore"
"2026-10-28","New Year Eve 100","Bangalore"
